Cod_Bairro,Bairro,IDHB2010,IDHB2010Educação,IDHB2010Renda,IDHB2010 Classificação ,População Total,Número de Cor/Raça Amarela,Número de Cor/Raça Branca,Número de Cor/Raça Indígena,Número de Cor/Raça Parda,Número de Cor/Raça Preta,Número de Cor/Raça Sem declaração,RENDA MÉDIA MENSAL ALFABETIZADOS (R$),RENDA MÉDIA MENSAL NÃO ALFABETIZADOS (R$)
230440065051,Barroso,"0,1869","0,9093","0,0452",Muito Baixo,29.847,334,8430,31,19330,1722,0,"403,18","309,97"
230440075094,Bela Vista,"0,3753","0,9565","0,1162",Muito Baixo,16.754,148,6181,1,9345,1079,0,"655,15","321,96"
230440005007,Benfica,"0,6285","0,9891","0,2945",Médio,8.97,147,4607,22,3738,456,0,"1105,98","410,67"
230440005008,Bom Futuro,"0,5054","0,9838","0,1609",Baixo,6.405,74,2971,8,3069,283,0,"803,43","303,83"
230440070072,Bom Jardim,"0,1949","0,9119","0,0323",Muito Baixo,37.758,402,10923,78,25052,1303,0,"353,91","311,96"
230440070073,Bonsucesso,"0,2621","0,9302","0,0571",Muito Baixo,41.198,491,14236,66,24434,1945,26,"442,25","345,13"
230440005110,Cais do Porto,"0,2236","0,8927","0,0450",Muito Baixo,22.382,245,6096,30,14847,1164,0,"403,31","316,28"
230440065052,Cajazeiras,"0,3045","0,9545","0,1549",Muito Baixo,14.478,100,5435,2,8454,487,0,"796,85","310,82"
230440065053,Cambeba,"0,5176","0,9686","0,4061",Baixo,7.625,74,3119,2,4140,290,0,"1684,83","362,34"
230440070074,Canindezinho,"0,1363","0,9028","0,0252",Muito Baixo,41.202,583,12182,43,25697,2697,0,"331,02","279,36"
230440005009,Carlito Pamplona,"0,2997","0,9302","0,0762",Muito Baixo,29.076,428,8697,71,18272,1608,0,"515,20","327,91"
230440075095,Castelão/Boa Vista,"0,2857","0,9432","0,1045",Muito Baixo,5.974,65,1713,1,3932,263,0,"522,36","349,57"
230440005010,Centro,"0,5567","0,9838","0,2408",Baixo,28.538,287,12891,57,14126,1177,0,"1081,60","406,23"
230440005111,Cidade 2000,"0,5619","0,9929","0,2274",Baixo,8.272,101,4024,9,3894,244,0,"1026,58","531,01"
230440065054,Cidade dos Funcionários,"0,5719","0,9848","0,3829",Baixo,18.256,211,9267,9,8305,464,0,"1580,91","404,03"
230440065055,Coaçu,"0,2553","0,9372","0,0946",Muito Baixo,7.188,78,2667,4,4062,377,0,"575,55","402,49"
230440005011,Cocó,"0,7623","0,9980","0,8935",Alto,20.492,246,13427,10,6424,385,0,"3335,61","532,19"
230440060042,Conjunto Ceará I,"0,3600","0,9828","0,1065",Muito Baixo,19.221,332,7799,17,10342,731,0,"609,15","415,10"
230440070075,Conjunto Ceará II,"0,3617","0,9798","0,1023",Muito Baixo,23.673,239,8425,9,14250,750,0,"596,00","384,31"
230440070076,Conjunto Esperança,"0,2880","0,9524","0,0805",Muito Baixo,16.405,203,5466,12,9970,754,0,"524,40","357,93"
230440065118,Conjunto Palmeiras,"0,1067","0,9150","0,0101",Muito Baixo,36.599,347,9453,20,24581,2198,0,"236,36","266,32"
230440075096,Couto Fernandes,"0,3612","0,9302","0,1120",Muito Baixo,5.26,149,1750,0,2818,543,0,"649,91","309,88"
230440005012,Cristo Redentor,"0,2538","0,9119","0,0404",Muito Baixo,26.717,425,8029,82,16263,1918,0,"383,08","326,15"
230440065056,Curió,"0,1882","0,9089","0,0729",Muito Baixo,7.636,33,1593,0,5527,483,0,"506,81","328,70"
230440005013,Damas,"0,5106","0,9858","0,2303",Baixo,10.719,85,5092,15,5215,312,0,"1042,64","435,18"
230440005115,De Lourdes,"0,6418","0,9747","0,8689",Médio,3.37,40,2153,2,1091,84,0,"3321,22","363,80"
230440075097,Demócrito Rocha,"0,3694","0,9626","0,0975",Muito Baixo,10.994,142,4515,3,5813,521,0,"583,96","353,41"
230440070077,Dendê,"0,1811","0,9484","0,1153",Muito Baixo,5.637,133,1942,4,3277,281,0,"658,55","259,94"
230440075098,Dias Macedo,"0,2710","0,9281","0,0609",Muito Baixo,12.111,132,3970,10,7044,955,0,"460,13","310,76"
230440060043,Dom Lustosa,"0,3201","0,9615","0,0902",Muito Baixo,13.147,301,4568,9,7818,451,0,"557,36","364,52"
230440065057,Edson Queiroz,"0,3503","0,9646","0,1989",Muito Baixo,22.21,278,6819,12,14075,1026,0,"949,50","316,52"
