Cear&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Pentecoste,2310704,pentecostense,JO&Atilde;O BOSCO PESSOA TABOSA,1379.836,38045,25.68,97.3,0.629,7.81,82670.47311,77568.30441,12798.17,
Pereiro,2310803,pereirense,RAIMUNDO ESTEVAM NETO,435.868,16356,36.35,97.9,0.601,10.42,39968.77252,33925.60465,25214.91,
Pindoretama,2310852,pindoretamense,JOS&Eacute; MARIA MENDES LEITE,74.033,20964,256.06,97.6,0.636,22.36,54134.13734,50810.22872,12189.47,
Piquet Carneiro,2310902,piquet-carneirense,BISMARCK BARROS BEZERRA,589.601,17210,26.31,96,0.600,25,40085.45432,37094.36253,8868.11,
Pires Ferreira,2310951,pires-ferreirense,L&Iacute;VIA MARIA MESQUITA MORORO MUNIZ MARQUES,244.464,11052,42.02,96.8,0.591,21.28,31064.19943,27798.29652,7211.45,
Poranga,2311009,poranguense,CARLOS ANTONIO RODRIGUES PEREIRA,1310.771,12358,9.17,98.8,0.581,6.21,32651.06826,32252.54594,7880.61,
Porteiras,2311108,porteirense,FABIO PINHEIRO CARDOSO,224.860,14920,69.22,97.6,0.622,8.37,42013.5771,37198.78845,11189.65,
Potengi,2311207,potengiense,FRANCISCO EDSON VERIATO DA SILVA,343.264,11165,30.34,92.7,0.562,17.54,31761.26025,28826.42168,9353.64,
Potiretama,2311231,potiretamense,LUAN DANTAS FELIX,409.137,6455,14.93,98,0.604,14.71,23759.34692,23358.35107,13429.39,
Quiterian&oacute;polis,2311264,quiterianopolense,FRANCISCA PRISCILLA DUARTE DE FIGUEIREDO,1041.832,21246,19.14,98.5,0.594,13.16,50000.3633,47607.42957,8083.40,
Quixad&aacute;,2311306,quixadaense,RICARDO JOS&Eacute; ARA&Uacute;JO SILVEIRA,2020.586,88899,39.91,95.8,0.659,21.31,176579.49543,166205.08141,11973.46,
